GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
analysis,soot,SootHelper,23,266,4,8,4,62,5,10,1,8
analysis,ch.ethz.rse,VerificationProperty,0,34,0,0,0,2,0,1,0,1
analysis,ch.ethz.rse,VerificationResult,18,34,5,5,5,11,5,5,1,4
analysis,ch.ethz.rse,VerificationTask,38,50,2,0,7,10,3,3,2,3
analysis,ch.ethz.rse.pointer,P2SetCollector,0,17,0,0,0,5,0,3,0,3
analysis,ch.ethz.rse.pointer,FrogInitializer,28,12,0,0,4,5,4,1,4,1
analysis,ch.ethz.rse.pointer,PointsToInitializer,21,256,5,19,2,53,6,13,1,6
analysis,ch.ethz.rse.pointer,PointsToAnalysisWrapper,0,24,0,0,0,7,0,2,0,2
analysis,ch.ethz.rse.main,Main,80,0,0,0,18,0,2,0,2,0
analysis,ch.ethz.rse.main,Runner,3,53,0,0,1,14,1,3,1,3
analysis,ch.ethz.rse.verify,EnvironmentGenerator,0,99,0,6,0,19,0,6,0,3
analysis,ch.ethz.rse.verify,Verifier,28,398,2,56,8,87,2,33,0,6
analysis,ch.ethz.rse.verify,ClassToVerify,19,50,2,2,4,13,4,4,2,4
analysis,ch.ethz.rse.verify,FrogInit,35,0,0,0,9,0,5,0,5,0
analysis,ch.ethz.rse.verify,AVerifier,6,50,1,3,1,16,1,5,0,3
analysis,ch.ethz.rse.verify,CallToSell,35,0,0,0,9,0,5,0,5,0
analysis,ch.ethz.rse.numerical,NumericalAnalysis,240,1754,50,128,48,308,46,61,2,16
analysis,ch.ethz.rse.numerical,IntegerWrapper,0,6,0,0,0,3,0,1,0,1
analysis,ch.ethz.rse.numerical,NumericalStateWrapper,46,113,3,7,14,26,4,12,1,10
analysis,ch.ethz.rse.utils,Configuration,20,41,1,1,5,12,1,4,0,4
analysis,ch.ethz.rse.utils,FileUtilsWrapper,29,0,0,0,9,0,3,0,3,0
analysis,ch.ethz.rse.utils,Constants,3,0,0,0,1,0,1,0,1,0
analysis,ch.ethz.rse.testing,VerificationTestCaseCollector,73,279,14,24,14,43,15,10,2,4
analysis,ch.ethz.rse.testing,VerificationTestCase,46,87,2,2,9,18,4,7,3,6
