packageName,property,expected,actual,group
ch.ethz.rse.integration.tests.Basic_Test_OverallSafe,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_OverallSafe,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_OverallSafe,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_Safe,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_Safe,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_Safe,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_Unsafe,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_Unsafe,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Basic_Test_Unsafe,OVERALL_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Mult,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Mult,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Mult_2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Mult_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Nested,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Nested,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Nested_2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Arith_Nested_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Bop_Or,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Bop_Or,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Bop_Or_2,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Bop_Or_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Branch_Limit,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Eq,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Eq,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Eq_2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Eq_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Geq,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Geq,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Greater,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Greater,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Greater_2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Comp_Greater_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
